Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
MSP,"Minneapolis, MN: Minneapolis-St Paul International",640,675,13,66,94,1947,6,8470
ORD,"Chicago, IL: Chicago O'Hare International",2139,4123,7,141,969,7536,78,21954
PDX,"Portland, OR: Portland International",379,373,6,24,41,1137,8,3558
PHL,"Philadelphia, PA: Philadelphia International",567,1717,3,127,129,2845,34,5582
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",909,650,18,73,187,2541,14,14782
SAN,"San Diego, CA: San Diego International",489,361,4,43,160,1332,72,5955
SEA,"Seattle, WA: Seattle/Tacoma International",833,990,8,47,109,2467,30,5677
SFO,"San Francisco, CA: San Francisco International",736,1566,5,58,270,3052,11,7390
SLC,"Salt Lake City, UT: Salt Lake City International",620,320,16,87,120,1722,4,9537
TPA,"Tampa, FL: Tampa International",451,353,1,12,23,1148,6,5288
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2130,2243,12,262,633,6606,31,25525
BOS,"Boston, MA: Logan International",853,711,2,92,282,2332,7,8429
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",807,304,8,44,151,1666,9,7086
CLT,"Charlotte, NC: Charlotte Douglas International",796,1043,2,60,173,2734,20,7334
DCA,"Washington, DC: Ronald Reagan Washington National",524,597,3,78,248,1672,35,5549
DEN,"Denver, CO: Denver International",1590,1325,20,207,2144,4774,16,12665
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2710,1776,16,355,958,6256,200,18050
DTW,"Detroit, MI: Detroit Metro Wayne County",960,1054,19,112,237,3000,7,8025
EWR,"Newark, NJ: Newark Liberty International",1087,3764,7,143,441,5381,24,7591
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",617,625,5,36,45,1813,12,4173
IAD,"Washington, DC: Washington Dulles International",758,530,14,72,214,2067,12,6417
IAH,"Houston, TX: George Bush Intercontinental/Houston",1325,2089,24,165,391,4397,126,14348
JFK,"New York, NY: John F. Kennedy International",1160,1785,8,153,220,3831,42,6435
LAS,"Las Vegas, NV: McCarran International",1638,1091,31,88,226,3840,11,11373
LAX,"Los Angeles, CA: Los Angeles International",1676,1202,29,143,409,4591,12,14965
LGA,"New York, NY: LaGuardia",788,1937,2,149,340,3416,10,6592
MCO,"Orlando, FL: Orlando International",860,762,10,47,83,2453,6,7530
MDW,"Chicago, IL: Chicago Midway International",807,658,14,125,205,2000,28,6302
MIA,"Miami, FL: Miami International",445,522,4,55,67,1590,4,3821
MSP,"Minneapolis, MN: Minneapolis-St Paul International",842,1007,24,110,212,2797,5,7785
ORD,"Chicago, IL: Chicago O'Hare International",3277,6553,19,215,2213,11592,28,17566
